Movie_Title,Release_Date,Wikipedia_URL,Genre_1,Genre_2,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Box_Office_Revenue
Total Recall,2012-08-03,https://en.wikipedia.org/wiki/Total_Recall_(2012_film),Action,Sci-Fi,Len Wiseman,,Colin Farrell,Jessica Biel,Bryan Cranston,Kate Beckinsale,Bill Nighy,125000000,198500000
Trance,2013-03-27,https://en.wikipedia.org/wiki/Trance_(2013_film),Crime,,Danny Boyle,,James McAvoy,Vincent Cassel,Rosario Dawson,Tuppence Middleton,Lee Nicholas Harris,20000000,24300000
Transcendence,2014-04-10,https://en.wikipedia.org/wiki/Transcendence_(2014_film),Sci-Fi,Thriller,Wally Pfister,,Johnny Depp,Paul Bettany,Rebecca Hall,Kate Mara,Morgan Freeman,100000000,103000000
Triple 9,2016-02-16,https://en.wikipedia.org/wiki/Triple_9,Crime,Drama,John Hillcoat,,Kate Winslet,Woody Harrelson,Gal Gadot,Anthony Mackie,Teresa Palmer,20000000,23400000
Trouble with the Curve,2012-09-21,https://en.wikipedia.org/wiki/Trouble_with_the_Curve,Drama,Sports,Robert Lorenz,,Clint Eastwood,Amy Adams,Matthew Lillard,Justin Timberlake,John Goodman,60000000,49000000
Trumbo,2015-09-12,https://en.wikipedia.org/wiki/Trumbo_(2015_film),Drama,,Jay Roach,,Bryan Cranston,Diane Lane,Helen Mirren,John Goodman,Elle Fanning,15000000,8200000
Truth,2015-09-12,https://en.wikipedia.org/wiki/Truth_(2015_film),Drama,,James Vanderbilt,,Robert Redford,Cate Blanchett,Dennis Quaid,Topher Grace,Elisabeth Moss,9600000,5400000
Turbo,2013-07-17,https://en.wikipedia.org/wiki/Turbo_(film),Comedy,Family,David Soren,,Ryan Reynolds,Paul Giamatti,Michael Peña,Luis Guzmán,Bill Hader,127000000,282600000
Tusk,2014-09-06,https://en.wikipedia.org/wiki/Tusk_(2014_film),Horror,,Kevin Smith,,Michael Parks,Justin Long,Haley Joel Osment,Génesis Rodríguez,Johnny Depp,3000000,1900000
Unbroken,2014-11-17,https://en.wikipedia.org/wiki/Unbroken_(film),Drama,,Angelina Jolie,,Jack O'Connell,Miyavi,Domhnall Gleeson,Garrett Hedlund,Jai Courtney,65000000,163400000
Unfinished Business,2015-03-06,https://en.wikipedia.org/wiki/Unfinished_Business_(2015_film),Comedy,,Ken Scott,,Vince Vaughn,Tom Wilkinson,Dave Franco,Sienna Miller,Nick Frost,35000000,14400000
Unfriended,2014-07-20,https://en.wikipedia.org/wiki/Unfriended,Horror,,Levan Gabriadze,,Shelley Hennig,Renee Olstead,Jacob Wysocki,Will Peltz,,1000000,64100000
Vacation,2015-07-29,https://en.wikipedia.org/wiki/Vacation_(2015_film),Adventure,Comedy,John Francis Daley,Jonathan Goldstein,Ed Helms,Christina Applegate,Leslie Mann,Chris Hemsworth,Charlie Day,31000000,104900000
Vampire Academy,2014-02-07,https://en.wikipedia.org/wiki/Vampire_Academy_(film),Action,Romance,Mark Waters,,Zoey Deutch,Lucy Fry,Danila Kozlovsky,,,30000000,15400000
Veronica Mars,2014-03-14,https://en.wikipedia.org/wiki/Veronica_Mars_(film),Mystery,Drama,Rob Thomas,,Kristen Bell,Jason Dohring,Krysten Ritter,Ryan Hansen,Francis Capra,6000000,3500000
Victor Frankenstein,2015-11-25,https://en.wikipedia.org/wiki/Victor_Frankenstein_(film),Horror,,Paul McGuigan,,Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,Andrew Scott,,40000000,34200000
Wanderlust,2012-02-24,https://en.wikipedia.org/wiki/Wanderlust_(2012_film),Comedy,,David Wain,,Paul Rudd,Jennifer Aniston,Malin Akerman,Justin Theroux,Ken Marino,35000000,24200000
War Dogs,2016-08-19,https://en.wikipedia.org/wiki/War_Dogs_(2016_film),Crime,Comedy,Todd Phillips,,Jonah Hill,Miles Teller,Ana de Armas,J. B. Blanc,,40000000,42700000
War Room,2015-08-28,https://en.wikipedia.org/wiki/War_Room_(film),Drama,,Alex Kendrick,,Alex Kendrick,Priscilla Shirer,T.C. Stallings,Beth Moore,Karen Abercrombie,3000000,73700000
Warcraft,2016-06-10,https://en.wikipedia.org/wiki/Warcraft_(film),Action,Fantasy,Duncan Jones,,Ben Foster,Travis Fimmel,Paula Patton,Toby Kebbell,Dominic Cooper,160000000,433500000
Warm Bodies,2013-02-01,https://en.wikipedia.org/wiki/Warm_Bodies_(film),Comedy,Horror,Jonathan Levine,,Nicholas Hoult,Teresa Palmer,Rob Corddry,John Malkovich,Analeigh Tipton,35000000,117000000
What Maisie Knew,2013-05-03,https://en.wikipedia.org/wiki/What_Maisie_Knew_(film),Drama,,Scott McGehee,David Siegel,Julianne Moore,Steve Coogan,Alexander Skarsgård,Joanna Vanderham,Onata Aprile,5000000,2700000
What to Expect When You're Expecting,2012-05-18,https://en.wikipedia.org/wiki/What_to_Expect_When_You%2527re_Expecting_(film),Comedy,,Kirk Jones,,Cameron Diaz,Jennifer Lopez,Brooklyn Decker,Elizabeth Banks,Anna Kendrick,40000000,84400000
